claim_id,FullName,Location,Contact,Reference,AmountPaid
ID1000,Davi,Los Angeles,0014144118,XYZ854,1808.49
ID1001,Frank,Phoenix,5174781703,XYZ440,1749.78
ID1002,Judy,Phoeni,3344668447,XYZ901,4872.82
ID1003,Frank,New Yor,3161127059,XYZ521,2906.59
ID1004,Davi,Phoenix,7354303411,XYZ921,5233.35
ID1005,Bob,New York,8972796057,XYZ785,6023.37
ID1006,Eva,Housto,424.652.66,XYZ984,2425.64
ID1007,Grace,Phoenix,0015306064,XYZ852,5439.08
ID1008,Ivy,Phoenix,0013621895,XYZ930,2847.71
ID1009,Ivy,Phoenix,431.684.59,XYZ354,4419.55
ID1010,Bob,Chicag,935.685.30,XYZ373,7337.2
ID1011,Grace,Chicag,6504174560,XYZ263,6922.73
ID1012,Frank,Los Angele,(264)26358,XYZ906,1646.48
ID1013,Eva,Chicag,+156332829,XYZ818,3965.03
ID1014,Grace,Los Angeles,+175573880,XYZ210,2936.52
ID1015,Fran,Chicago,3871484815,XYZ491,1024.52
ID1016,Grace,Housto,688.349.98,XYZ993,6397.54
ID1017,Alice,Los Angeles,(493)15374,XYZ139,5459.79
ID1018,Ivy,Chicago,955.423.70,XYZ979,2833.19
ID1019,Alice,Housto,(000)52160,XYZ581,6188.83
ID1020,Grace,Chicago,228.093.99,XYZ327,4861.2
ID1021,Judy,New York,(436)50303,XYZ304,3993.87
ID1022,Ivy,New Yor,1755300497,XYZ936,1067.05
ID1023,Eva,Houston,7731262478,XYZ571,1526.04
ID1024,Bob,Phoeni,3121755186,XYZ458,7181.0
ID1025,Alice,Phoenix,+199006497,XYZ412,7327.55
ID1026,Bob,New York,(987)64288,XYZ940,4819.26
ID1027,Frank,New Yor,0047159143,XYZ914,6842.46
ID1028,Mallory,Phoenix,0011214727,XYZ992,5077.49
ID1029,Judy,Los Angele,115.539.76,XYZ333,2036.42
ID1030,Frank,Phoenix,0011142988,XYZ328,1892.77
ID1031,Carol,Chicago,0012539867,XYZ124,3157.57
ID1032,Fran,Los Angele,0010071190,XYZ775,7292.53
ID1033,Fran,Chicag,4414236029,XYZ297,6572.02
ID1034,Mallory,New York,0267711076,XYZ508,7024.0
ID1035,Ivy,Los Angeles,+173332134,XYZ436,7292.47
ID1036,Judy,Chicago,0014176133,XYZ385,2470.84
ID1037,Judy,Chicago,4989835021,XYZ985,2746.01
ID1038,Eva,Los Angeles,1924940352,XYZ171,1719.46
ID1039,Frank,Houston,9644113916,XYZ891,6460.85
ID1040,Judy,Phoenix,167.479.06,XYZ385,7188.19
ID1041,Davi,Chicago,0014639996,XYZ459,3844.77
ID1042,Eva,Phoenix,5255781418,XYZ756,5344.03
ID1043,David,Phoenix,0017353396,XYZ621,2081.21
ID1044,Mallory,New York,3138188091,XYZ509,7509.67
ID1045,David,Phoenix,0014930139,XYZ795,7052.88
ID1046,Bob,Chicago,0011959283,XYZ963,7833.44
ID1047,Grace,New York,0017451897,XYZ649,6675.45
ID1048,Davi,Los Angeles,(094)21701,XYZ439,7169.26
ID1049,Mallory,Chicago,+125047507,XYZ128,1173.5
