CLM_ID,Name,City,Amount,Phone,Code
ID1000,David,Los Angeles,1808.0,0014144118,XYZ854
ID1001,Frank,Phoenix,1749.25,5174781703,XYZ440
ID1002,Judy,Phoenix,4872.57,3344668447,XYZ901
ID1003,Frank,New York,2906.44,3161127059,XYZ521
ID1004,David,Phoenix,5233.81,7354303411,XYZ921
ID1005,Bob,New York,6023.29,8972796057,XYZ785
ID1006,Eva,Houston,2425.18,424.652.66,XYZ984
ID1007,Grace,Phoenix,5439.67,0015306064,XYZ852
ID1008,Ivy,Phoenix,2847.89,0013621895,XYZ930
ID1009,Ivy,Phoenix,4419.72,431.684.59,XYZ354
ID1010,Bob,Chicago,7337.36,935.685.30,XYZ373
ID1011,Grace,Chicago,6922.73,6504174560,XYZ263
ID1012,Frank,Los Angeles,1646.09,(264)26358,XYZ906
ID1013,Eva,Chicago,3965.03,+156332829,XYZ818
ID1014,Grace,Los Angeles,2936.76,+175573880,XYZ210
ID1015,Frank,Chicago,1024.82,3871484815,XYZ491
ID1016,Grace,Houston,6397.83,688.349.98,XYZ993
ID1017,Alice,Los Angeles,5459.79,(493)15374,XYZ139
ID1018,Ivy,Chicago,2833.69,955.423.70,XYZ979
ID1019,Alice,Houston,6188.62,(000)52160,XYZ581
ID1020,Grace,Chicago,4861.76,228.093.99,XYZ327
ID1021,Judy,New York,3993.81,(436)50303,XYZ304
ID1022,Ivy,New York,1067.69,1755300497,XYZ936
ID1023,Eva,Houston,1526.71,7731262478,XYZ571
ID1024,Bob,Phoenix,7181.74,3121755186,XYZ458
ID1025,Alice,Phoenix,7327.5,+199006497,XYZ412
ID1026,Bob,New York,4819.13,(987)64288,XYZ940
ID1027,Frank,New York,6842.17,0047159143,XYZ914
ID1028,Mallory,Phoenix,5077.57,0011214727,XYZ992
ID1029,Judy,Los Angeles,2036.66,115.539.76,XYZ333
ID1030,Frank,Phoenix,1892.12,0011142988,XYZ328
ID1031,Carol,Chicago,3157.81,0012539867,XYZ124
ID1032,Frank,Los Angeles,7292.87,0010071190,XYZ775
ID1033,Frank,Chicago,6572.86,4414236029,XYZ297
ID1034,Mallory,New York,7024.92,0267711076,XYZ508
ID1035,Ivy,Los Angeles,7292.47,+173332134,XYZ436
ID1036,Judy,Chicago,2470.54,0014176133,XYZ385
ID1037,Judy,Chicago,2746.71,4989835021,XYZ985
ID1038,Eva,Los Angeles,1719.56,1924940352,XYZ171
ID1039,Frank,Houston,6460.81,9644113916,XYZ891
ID1040,Judy,Phoenix,7188.94,167.479.06,XYZ385
ID1041,David,Chicago,3844.64,0014639996,XYZ459
ID1042,Eva,Phoenix,5344.63,5255781418,XYZ756
ID1043,David,Phoenix,2081.87,0017353396,XYZ621
ID1044,Mallory,New York,7509.17,3138188091,XYZ509
ID1045,David,Phoenix,7052.24,0014930139,XYZ795
ID1046,Bob,Chicago,7833.44,0011959283,XYZ963
ID1047,Grace,New York,6675.4,0017451897,XYZ649
ID1048,David,Los Angeles,7169.91,(094)21701,XYZ439
ID1049,Mallory,Chicago,1173.5,+125047507,XYZ128
